n_transforms,pad,pad_mode,levels,masking_mode,z_score_mode,image_auroc,image_ap,image_f1,image_threshold
1,112,reflect,1,mean_impute,mean,0.6616847826086956,0.3322016809848346,0.5882352898116109,1.326006531715393
1,112,reflect,1,mean_impute,max,0.5298913043478262,0.26982610267884566,0.461538457827219,77.73155975341797
1,112,reflect,1,mean_impute,topk_0.1,0.6467391304347825,0.32529195718873566,0.5490196035371012,8.366795539855957
1,112,reflect,1,mean_impute,topk_0.05,0.6236413043478262,0.3121624284613605,0.519999995648,13.866466522216797
1,112,reflect,2,zero,mean,0.6956521739130435,0.43254231213403044,0.5454545408264463,2007.2520751953125
1,112,reflect,2,zero,max,0.688858695652174,0.42367239943747553,0.5365853610945867,522608.09375
1,112,reflect,2,zero,topk_0.1,0.6915760869565217,0.42900179689513424,0.5365853610945867,21578.994140625
1,112,reflect,2,zero,topk_0.05,0.6915760869565217,0.42900179689513424,0.5365853610945867,40054.765625
1,112,reflect,2,mean_impute,mean,0.6888586956521738,0.4792902659364649,0.5333333287506173,0.8391348719596863
1,112,reflect,2,mean_impute,max,0.5910326086956522,0.3583839874637719,0.4745762672335536,34.19681930541992
1,112,reflect,2,mean_impute,topk_0.1,0.6779891304347827,0.4338379282729652,0.5283018825774297,4.663522243499756
1,112,reflect,2,mean_impute,topk_0.05,0.6616847826086956,0.421343833353957,0.5416666622222223,7.404672622680664
1,112,replicate,0,zero,mean,0.3559782608695652,0.20761191792219563,0.4155844122921235,10.81302547454834
1,112,replicate,0,zero,max,0.2758152173913043,0.18731238692162236,0.4102564069953978,1741.2862548828125
1,112,replicate,0,zero,topk_0.1,0.33967391304347827,0.20256384905510919,0.4102564069953978,72.82855987548828
1,112,replicate,0,zero,topk_0.05,0.32608695652173914,0.19889295359438622,0.4102564069953978,115.8884506225586
1,112,replicate,0,mean_impute,mean,0.717391304347826,0.4461777293157282,0.5454545408264463,1.8724538087844849
1,112,replicate,0,mean_impute,max,0.49320652173913043,0.25437256153876486,0.4262295043267939,107.96342468261719
1,112,replicate,0,mean_impute,topk_0.1,0.7173913043478262,0.4558793821563517,0.5581395302109249,12.447684288024902
1,112,replicate,0,mean_impute,topk_0.05,0.7391304347826086,0.4722102492562851,0.5581395302109249,19.496665954589844
1,112,replicate,1,zero,mean,0.4157608695652174,0.2739221949604316,0.41666666320987655,92.52904510498047
1,112,replicate,1,zero,max,0.3994565217391304,0.2702699755662609,0.4102564069953978,16083.1689453125
1,112,replicate,1,zero,topk_0.1,0.4116847826086957,0.27307800747098115,0.4210526282548477,676.3566284179688
1,112,replicate,1,zero,topk_0.05,0.41304347826086957,0.2735472266902004,0.4210526282548477,1201.664306640625
1,112,replicate,1,mean_impute,mean,0.6644021739130435,0.3866508155750426,0.5454545413289257,1.2173675298690796
1,112,replicate,1,mean_impute,max,0.6671195652173914,0.36131668522825644,0.5581395302109249,117.3927001953125
1,112,replicate,1,mean_impute,topk_0.1,0.654891304347826,0.4329255877742533,0.5185185143484226,7.659722805023193
1,112,replicate,1,mean_impute,topk_0.05,0.6413043478260869,0.4215186437060535,0.5098039172625914,12.951142311096191
