n_transforms,pad,pad_mode,levels,masking_mode,z_score_mode,image_auroc,image_ap,image_f1,image_threshold
4,112,replicate,1,mean_impute,topk_0.1,0.6385869565217391,0.3391188886434336,0.5454545413289257,6.876036167144775
4,112,replicate,1,mean_impute,topk_0.05,0.6467391304347827,0.3466017667647929,0.5454545413289257,10.283846855163574
4,112,replicate,2,zero,mean,0.7472826086956522,0.6032590096949084,0.624999995,6815.38525390625
4,112,replicate,2,zero,max,0.7622282608695653,0.6178186197708228,0.6451612853277836,1369869.5
4,112,replicate,2,zero,topk_0.1,0.7472826086956522,0.6032590096949084,0.624999995,64141.625
4,112,replicate,2,zero,topk_0.05,0.7472826086956522,0.6032590096949084,0.624999995,120887.9765625
4,112,replicate,2,mean_impute,mean,0.6453804347826088,0.45433635525151006,0.5405405356318481,1.0237226486206055
4,112,replicate,2,mean_impute,max,0.5176630434782609,0.32721483663829665,0.4888888843061729,44.284149169921875
4,112,replicate,2,mean_impute,topk_0.1,0.6413043478260869,0.4293511464739698,0.5238095190929706,5.38975191116333
4,112,replicate,2,mean_impute,topk_0.05,0.6480978260869565,0.45615615046647606,0.4999999953719009,7.9401702880859375
8,0,-,0,zero,mean,0.5652173913043479,0.28626320939779304,0.476190471473923,15.677775382995605
8,0,-,0,zero,max,0.4456521739130435,0.22915490450531262,0.47761193666295393,2417.11376953125
8,0,-,0,zero,topk_0.1,0.5230978260869565,0.2627426123408557,0.44827585807372183,95.23506164550781
8,0,-,0,zero,topk_0.05,0.5135869565217391,0.25589577868161084,0.4507042218607419,134.12486267089844
8,0,-,0,mean_impute,mean,0.78125,0.5644185092179123,0.562499995,2.549954652786255
8,0,-,0,mean_impute,max,0.561141304347826,0.38524995891367764,0.47272726860165293,174.8924102783203
8,0,-,0,mean_impute,topk_0.1,0.7907608695652174,0.5722676143159886,0.583333328888889,14.387883186340332
8,0,-,0,mean_impute,topk_0.05,0.7744565217391304,0.5403430747700415,0.5909090862809917,23.641191482543945
8,0,-,1,zero,mean,0.40625,0.2225379802069733,0.42253520777623493,303.9617919921875
8,0,-,1,zero,max,0.4089673913043478,0.22599813199202773,0.4210526282548477,38255.26171875
8,0,-,1,zero,topk_0.1,0.41032608695652173,0.2236594035398821,0.42253520777623493,2490.981689453125
8,0,-,1,zero,topk_0.05,0.4116847826086957,0.22384235823370635,0.42253520777623493,4298.7294921875
8,0,-,1,mean_impute,mean,0.6453804347826086,0.3431138112241686,0.5185185143484226,1.9647413492202759
8,0,-,1,mean_impute,max,0.5869565217391304,0.3480777555331429,0.49999999573964504,145.72760009765625
8,0,-,1,mean_impute,topk_0.1,0.6331521739130435,0.30988079302985705,0.5245901600644989,9.611865997314453
8,0,-,1,mean_impute,topk_0.05,0.6277173913043478,0.3059144683130201,0.5263157854355187,15.250138282775879
