n_transforms,levels,masking_mode,z_score_mode,image_auroc,image_ap,image_f1,image_threshold
16,0,mean_impute,max,0.6345108695652174,0.4449391630174446,0.4814814773113856,186.275390625
16,0,mean_impute,topk_0.1,0.733695652173913,0.5305838588445811,0.5714285667120181,14.779815673828125
16,0,mean_impute,topk_0.05,0.7445652173913043,0.5525704713467319,0.555555550617284,24.590652465820312
16,1,zero,mean,0.3777173913043478,0.2089848282753646,0.4507042218607419,233.7350616455078
16,1,zero,max,0.3682065217391305,0.20627519840303982,0.43243242904309714,38696.44921875
16,1,zero,topk_0.1,0.37907608695652173,0.20925878409943416,0.4507042218607419,1917.0657958984375
16,1,zero,topk_0.05,0.3804347826086957,0.20961490945555955,0.4507042218607419,3352.215576171875
16,1,mean_impute,mean,0.6222826086956522,0.32564565140844215,0.5263157854355187,2.0735232830047607
16,1,mean_impute,max,0.6358695652173914,0.394176712495678,0.5238095190929706,183.6236572265625
16,1,mean_impute,topk_0.1,0.6440217391304348,0.36961046193659525,0.5263157854355187,10.805251121520996
16,1,mean_impute,topk_0.05,0.6480978260869565,0.38156971023694286,0.5245901600644989,15.161073684692383
16,2,zero,mean,0.41440217391304346,0.31205274041653713,0.45714285361632656,5051.607421875
16,2,zero,max,0.41847826086956524,0.3160432492995162,0.45714285361632656,1142041.875
16,2,zero,topk_0.1,0.41440217391304346,0.31205274041653713,0.45714285361632656,46836.5390625
16,2,zero,topk_0.05,0.41440217391304346,0.31205274041653713,0.45714285361632656,87505.9375
16,2,mean_impute,mean,0.6413043478260869,0.5120080559190932,0.5238095190929706,1.460240364074707
16,2,mean_impute,max,0.6317934782608696,0.32919238921559146,0.5263157854355187,28.718170166015625
16,2,mean_impute,topk_0.1,0.6304347826086957,0.4283822154194621,0.48648648157779395,6.244490146636963
16,2,mean_impute,topk_0.05,0.6263586956521738,0.4027212592215872,0.48648648157779395,8.875409126281738
